ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,99.0,0.38668211311445133,3.490757683091466,9.027460967811203,345.5850106260551,14.763
1,90.0,0.422081792436803,3.4773197520465127,8.238497405848562,312.95877768418615,14.763
2,84.0,0.6513725410187696,4.173298315382476,6.406930063179037,350.5570584921279,14.763
3,64.0,0.6453643330324498,3.625914261707903,5.618398904492276,232.05851274930578,14.763
4,57.0,0.5431563876535209,3.1392430189836364,5.779630121898073,178.93685208206728,14.763
5,39.0,0.5549397248651335,2.624703645322021,4.729709421973531,102.36344216755882,14.763
6,49.0,0.5332693456694462,2.8840076857633288,5.408163265306118,141.31637660240312,14.763
7,58.0,0.6657099515836497,3.505755185029394,5.266190142853647,203.33380073170488,14.763
8,150.0,0.33572280866672133,4.0036962113028745,11.925600846731337,600.5544316954312,14.763
9,56.0,0.6571404435621376,3.4225371858657234,5.208227890088912,191.6620824084805,14.763
10,101.0,0.409141824580141,3.626792336091005,8.864389114490551,366.3060259451915,14.763
11,33.0,0.6015514503463733,2.5137288103301425,4.178742830530519,82.95305074089471,14.763
12,65.0,0.6515159718663198,3.6715062801743716,5.6353281250451115,238.64790821133414,14.763
13,68.0,0.8152981332226005,4.200855508994819,5.152539099274328,285.6581746116478,14.763
14,35.0,0.6268101028856254,2.6425735255226246,4.215907678190084,92.49007339329187,14.763
15,59.0,0.49699077173893635,3.0550986044987636,6.147193827783129,180.25081766542704,14.763
16,45.0,0.9263241586081761,3.6426111770698073,3.9323288108375767,163.91750296814135,14.763
17,47.0,0.8792839513971222,3.626924923560623,4.124861960459629,170.46547140734927,14.763
18,63.0,0.7574100215121407,3.8972732978000773,5.145526448170461,245.52821776140485,14.763
19,41.0,0.6939624732127093,3.009435121485515,4.336596340077715,123.38683998090612,14.763
20,52.0,0.5015061513421379,2.8811433545760465,5.744981087202,149.8194544379544,14.763
21,42.0,0.7779811581692536,3.2250336345873247,4.145387842266615,135.45141265266767,14.763
22,27.0,0.45768817954236746,1.9833154446836057,4.333333333333362,53.54951700645735,14.763
23,101.0,0.5608560968037692,4.246307816709521,7.57111822606291,428.87708948766164,14.763
24,33.0,0.6888950544888365,2.69003894224011,3.904860289984418,88.77128509392362,14.763
25,74.0,0.7801401088614892,4.286740823186561,5.494834548940816,317.21882091580545,14.763
26,64.0,0.4762702656021577,3.1148833330221186,6.540159144900451,199.35253331341562,14.763
27,102.0,0.5311937288549354,4.152901391567406,7.818054253990505,423.59594193987533,14.763
28,76.0,0.5439753360561732,3.6276173000082386,6.668716501576159,275.69891480062614,14.763
29,40.0,0.3177686863897785,2.0114563320887986,6.3299387832743355,80.45825328355194,14.763
30,52.0,0.4277187381287486,2.6607610468297787,6.220819453621545,138.3595744351485,14.763
31,38.0,0.5604999703060499,2.603782231035691,4.645463637783864,98.94372477935626,14.763
32,41.0,0.7173812388631178,3.0597926662127186,4.265225378714639,125.45149931472147,14.763
33,58.0,0.6019139038494742,3.333544432155135,5.53824128473494,193.34557706499785,14.763
34,59.0,0.6436175569741803,3.4766823333566306,5.40178293100246,205.1242576680412,14.763
35,49.0,0.67636251624834,3.247976431985549,4.802123645174017,159.15084516729192,14.763
36,66.0,0.6544249307286151,3.707890918603189,5.665876626177651,244.7208006278105,14.763
37,33.0,0.8936798734207998,3.0638889634220647,3.428396514843964,101.10833579292813,14.763
38,46.0,0.4967773711131506,2.697024439832655,5.429040444795856,124.06312423230213,14.763
39,54.0,0.6275805463907359,3.2844048142412348,5.233439489369293,177.35785996902663,14.763
40,63.0,0.7562226328797489,3.894217229777794,5.149564507145657,245.33568547600098,14.763
41,74.0,0.6862131804656234,4.020410988134843,5.858836732641644,297.5104131219784,14.763
42,62.0,0.5860706614113439,3.4009159505682045,5.802911106961576,210.85678893522865,14.763
43,92.0,0.4664491633235399,3.6959078679127964,7.923495545749816,340.02352384797723,14.763
44,72.0,0.7093385260091178,4.031977370291318,5.684137012797033,290.30237066097493,14.763
45,27.0,0.6982384363931189,2.449676983781928,3.5083674230771256,66.14127856211206,14.763
46,40.0,0.8288645421011963,3.2486044884412237,3.919343057197156,129.94417953764895,14.763
47,78.0,0.6499627508370532,4.017136592266485,6.180564327868055,313.33665419678584,14.763
48,40.0,0.31957821221351085,2.017175295867981,6.311992553861283,80.68701183471926,14.763
49,27.0,0.9137076694991595,2.8022738937611757,3.066926093875535,75.66139513155174,14.763
50,38.0,0.791440485508056,3.094040493077928,3.9093785947679245,117.57353873696125,14.763
51,61.0,0.7002897712158876,3.6874731998559014,5.265639098873994,224.93586519120996,14.763
52,53.0,0.48832006724079124,2.870220647669425,5.877744619194845,152.12169432647948,14.763
53,75.0,0.4469602863545212,3.2665564193602505,7.308381793834082,244.99173145201877,14.763
54,76.0,0.3480157222990771,2.9015582393938537,8.337434355624652,220.51842619393287,14.763
55,88.0,0.5825134598800802,4.039423448230699,6.934472293674175,355.46926344430153,14.763
56,36.0,0.7859370263436937,3.0010289759532762,3.818408950542194,108.03704313431795,14.763
57,55.0,0.4877399826287334,2.922137096318547,5.991178087491079,160.7175402975201,14.763
58,60.0,0.4338370871946604,2.8784853709606337,6.634945365261206,172.70912225763803,14.763
59,25.0,0.8916443118718713,2.663734218293746,2.987440375974184,66.59335545734366,14.763
60,49.0,0.6047450916372348,3.071208349033562,5.07851719923652,150.48920910264454,14.763
61,71.0,0.5789130241467133,3.6171031857936065,6.2480943335573125,256.814326191346,14.763
62,77.0,0.5673596710647101,3.7290624570774917,6.57266042558068,287.1378091949669,14.763
